Column1;caption;nome_evento;local_evento;artista;data_evento;valor;link_venda
0;Lembrete: 2° lote está esgotando, então corre e garante logo o seu ingresso pro AQUECE FORTALEZA nessa sexta ?Dia 15 de março o nosso encontro é no Colosso, com a primeira edição do @aquece.fortaleza e preparamos uma festa inesquecível?.Preparem-se para aquecer junto com @AlanzimCoreano @NuzioMedeiros @Jotave_of e várias surpresas.. . Aquece Fortaleza, 15 de março Vendas: https://outgo.com.br/aquece Informações: (85) 99691-0824 Colosso - Fortaleza/CE .@r10producoes_@acerteiproducoes@1beat.agencia#fortaleza #colosso #aquece;Aquece Fortaleza;Colosso - Fortaleza/CE;Alanzin Coreano, Nuzio Medeiros e Jotavê;15/03/24;-;https://outgo.com.br/aquece
1;Vendas ABERTAS! ?Não perca tempo e já garanta sua entrada. Vai ser Fogo e Gasolina esse encontro inesquecível do trio @henriqueejuliano e @nattan em Fortaleza, no Colosso Stage. ?Ingressos: www.limitezero.art.br;Fogo e Gasolina;Colosso Stage;Henrique e Juliano e Nattan;-;-;www.limitezero.art.br
2;Playa Cumbuco - Semana Santa 2024VENDAS NO LINK DA BIO!Mais informações no direct.;Playa Cumbuco - Semana Santa 2024;Cumbuco;-;-;-;-
3;Dia 06.04, o @praiow vai ser palco de apresentações de tirar o fôlego! ?@mazmusic, @matheusmeca e @mojjo vão desembarcar em Fortaleza e o encontro à beira mar promete! Já garantiu sua entrada? Corre que ainda dá tempo… www.praiow.com.br;Praiow;Fortaleza;Maz Music, Matheus Meca e Mojjo;06/04/24;-;www.praiow.com.br
4;Vendas a todo vapor! Corre logo no site Efolia e garanta seu ingresso antes que acabe, pois dia 23 de Março todos os caminhos te levarão ao @Kukukaya, vamos ter o encontro de milhões de Batista Lima e Lagosta Bronzeada. Link de vendas na Bio. #kukukaya #forrodasantigas #forropedeserra;-;Kukukaya;Batista Lima e Lagosta Bronzeada;23/03/24;-;https://www.efolia.com.br
5;SÃO ELES @guilhermeebenuto CONFIRMADO A 3º PARTICIPAÇÃO DO DVD DO HENRY!!!Dia 17.03 em Fortaleza/CE #TudoViraTerapia no DVD do Henry junto com @guilhermeebenuto! Prepara o coração que eles vem com tudo. #henryfreitas #guilhermeebenuto;DVD do Henry;Fortaleza/CE;@guilhermeebenuto;17/03/24;-;-
6;Vocês imaginam o que essa turma tá preparando para esse fds em Fortaleza? Preparem-se que oficialmente começamos nessa sexta com o AQUECE no Colosso ?.Vamos aquecer junto com @AlanzimCoreano @NuzioMedeiros @Jotave_of e várias surpresas.. . Aquece Fortaleza, 15 de março Vendas: https://outgo.com.br/aquece Informações: (85) 99691-0824 Colosso - Fortaleza/CE .@r10producoes_@acerteiproducoes@1beat.agencia#fortaleza #colosso #aquece;Aquece Fortaleza;Colosso - Fortaleza/CE;@AlanzimCoreano @NuzioMedeiros @Jotave_of e várias surpresas;15/03/24;-;https://outgo.com.br/aquece
7;Ei, Quixeramobim! Faltam 04 dias para o nosso encontro e o Rey das Vaquejadas @reyvaqueiro tem um convite especial para este sábado na casa de shows Arreio de Prata! Pontos de venda: Online - Virtual Ticket: www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey Venda Física: Quixeramobim: Divino 88 e Casa do Bebê • Quixadá: Tella • São Miguel: José Amâncio Mercantil #SeuDesejo #Ceará #ReyVaqueiro #Quixeramobim #AMaisRomântica #ClaudioNeyEJuliana #ÉoRey;A Mais Romântica e o Rey;Arreio de Prata;Rey Vaqueiro;-;-;www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey
8;Essa vai ser a estréia do Henry Freitas no palco do Playa! E já estamos animados para aproveitar esse show com vocês..Os ventos nos levam para um novo destino. 28, 29 e 30 de Março.Cumbuco - CEIngressos disponíveis (Link na Bio)Mais informações no direct;Playa;Cumbuco;Henry Freitas;;;
9;É AMANHÃ a VIRADA DE LOTE Lote atual encerra amanhã, quarta -feira, 13 de março. Corre e garanta já seu ingresso para o GAROTA VIP FORTALEZA! A partir de quinta-feira, 14 de março novos valores! Garanta seu ingresso: PONTOS FÍSICOS: RANCHO DO POÇO:(R. Oscar Benevides, 90 - Mondubim, Fortaleza-CE)LOJAS PONTO DA MODA:MARACANAÚ(End.: R. Dezesseis, 331 - Jereissati I, Maracanaú - CE, 61900-230)SHOPPING EUSÉBIO(End.: E040 ?, Av. Eusébio de Queiroz, 1890 - Loja 10 - Tamatanduba, Eusébio - CE)CENTRO(End. R. Guilherme Rocha, 203 - Centro)SHOPPING RIO MAR KENNEDY (End.: Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE) MESSEJANA (Av. Frei Cirilo, 172 - Messejana, Fortaleza - CE)NORTH SHOPPING JÓQUEI (Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE)Venda on-line: https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip #Fortaleza #Ceará #SaveTheDate #SóOsFortesEntendem #WesleySafadão #CamaroteShows #LuanSantana #LeoSantana #MarieRayane;GAROTA VIP FORTALEZA;;Wesley Safadão, Luan Santana, Leo Santana, Marie Rayane;14/03/24;-;https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip
